epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.0625,2.3129842281341553,,
0,99,0.078125,2.300504207611084,,
0,149,0.078125,2.3201699256896973,,
0,199,0.125,2.3093972206115723,,
0,249,0.09375,2.300772190093994,,
0,299,0.078125,2.3110854625701904,,
0,349,0.0625,2.300827980041504,,
0,399,0.109375,2.3000733852386475,,
0,449,0.109375,2.2985005378723145,,
0,499,0.0625,2.307267665863037,,
0,549,0.171875,2.3029816150665283,,
0,599,0.09375,2.315670967102051,,
0,649,0.046875,2.3173279762268066,,
0,699,0.109375,2.3020002841949463,,
0,749,0.140625,2.302436113357544,,
0,799,0.125,2.3036510944366455,,
0,849,0.046875,2.3056156635284424,,
0,899,0.15625,2.3018975257873535,,
0,937,,,0.10000000149011612,2.304011821746826
1,949,0.09375,2.3063435554504395,,
1,999,0.09375,2.3069002628326416,,
1,1049,0.09375,2.3136227130889893,,
1,1099,0.15625,2.299065589904785,,
1,1149,0.109375,2.3068747520446777,,
1,1199,0.09375,2.2999463081359863,,
1,1249,0.046875,2.3077659606933594,,
1,1299,0.09375,2.3016293048858643,,
1,1349,0.125,2.3054988384246826,,
1,1399,0.09375,2.3047845363616943,,
1,1449,0.109375,2.3001370429992676,,
1,1499,0.078125,2.3206233978271484,,
1,1549,0.078125,2.298504114151001,,
1,1599,0.09375,2.2967278957366943,,
1,1649,0.078125,2.322657585144043,,
1,1699,0.078125,2.301438808441162,,
1,1749,0.203125,2.301692247390747,,
1,1799,0.0625,2.3064615726470947,,
1,1849,0.078125,2.316673517227173,,
1,1875,,,0.10000000149011612,2.305466890335083
2,1899,0.09375,2.306288957595825,,
2,1949,0.09375,2.3034324645996094,,
2,1999,0.109375,2.298848867416382,,
2,2049,0.03125,2.3105921745300293,,
2,2099,0.1875,2.2792012691497803,,
2,2149,0.140625,2.3026442527770996,,
2,2199,0.09375,2.3079781532287598,,
2,2249,0.078125,2.314438581466675,,
2,2299,0.078125,2.2976622581481934,,
2,2349,0.109375,2.3100552558898926,,
2,2399,0.03125,2.3092122077941895,,
2,2449,0.109375,2.3038175106048584,,
2,2499,0.09375,2.30867338180542,,
2,2549,0.09375,2.3175621032714844,,
2,2599,0.125,2.299999952316284,,
2,2649,0.09375,2.304140329360962,,
2,2699,0.171875,2.29949951171875,,
2,2749,0.125,2.301413059234619,,
2,2799,0.140625,2.306892156600952,,
2,2813,,,0.10000000149011612,2.304471969604492
3,2849,0.109375,2.297208547592163,,
3,2899,0.09375,2.2994370460510254,,
3,2949,0.078125,2.3053717613220215,,
3,2999,0.109375,2.3054234981536865,,
3,3049,0.171875,2.2929766178131104,,
3,3099,0.125,2.306361198425293,,
3,3149,0.109375,2.3037188053131104,,
3,3199,0.0625,2.315641164779663,,
3,3249,0.09375,2.3049232959747314,,
3,3299,0.125,2.3046982288360596,,
3,3349,0.125,2.30418062210083,,
3,3399,0.078125,2.318321943283081,,
3,3449,0.109375,2.2970705032348633,,
3,3499,0.125,2.295196771621704,,
3,3549,0.109375,2.3115930557250977,,
3,3599,0.078125,2.3232381343841553,,
3,3649,0.109375,2.3113784790039062,,
3,3699,0.109375,2.3011789321899414,,
3,3749,0.0625,2.303130626678467,,
3,3751,,,0.10000000149011612,2.305600881576538
4,3799,0.078125,2.3101086616516113,,
4,3849,0.015625,2.3105008602142334,,
4,3899,0.109375,2.3076512813568115,,
4,3949,0.0625,2.3088278770446777,,
4,3999,0.046875,2.3068172931671143,,
4,4049,0.109375,2.2945821285247803,,
4,4099,0.09375,2.306412935256958,,
4,4149,0.109375,2.313060760498047,,
4,4199,0.109375,2.291616201400757,,
4,4249,0.15625,2.304176092147827,,
4,4299,0.09375,2.314030885696411,,
4,4349,0.046875,2.3241829872131348,,
4,4399,0.140625,2.2983322143554688,,
4,4449,0.140625,2.290353536605835,,
4,4499,0.125,2.3055224418640137,,
4,4549,0.09375,2.3176429271698,,
4,4599,0.078125,2.300715446472168,,
4,4649,0.140625,2.2908551692962646,,
