epoch,timestamp,layer,I_XT,I_TY,status
0,2025-06-29T16:01:56.050160,conv1,0.11436902075363195,0.14476569,success
0,2025-06-29T16:01:56.050160,conv2,0.026489419367075148,0.088373736,success
0,2025-06-29T16:01:56.050160,fc1,0.020836217097488438,0.09709544,success
0,2025-06-29T16:01:56.050160,fc2,0.003782317739167713,0.15062675,success
0,2025-06-29T16:01:56.050160,fc3,0.05910065335597245,0.24410251,success
1,2025-06-29T16:02:22.671596,conv1,0.14761979952521304,0.10833207,success
1,2025-06-29T16:02:22.671596,conv2,0.0027506938649185637,0.02778374,success
1,2025-06-29T16:02:22.671596,fc1,0.0030813261253606374,0.1305399,success
1,2025-06-29T16:02:22.671596,fc2,0.017401829540900263,0.14815478,success
1,2025-06-29T16:02:22.671596,fc3,0.037265127567208275,0.1905575,success
2,2025-06-29T16:02:49.517442,conv1,0.22130607360555438,0.11799963,success
2,2025-06-29T16:02:49.517442,conv2,0.10626475199091588,0.028151222,success
2,2025-06-29T16:02:49.517442,fc1,0.0009414774233103192,0.14163117,success
2,2025-06-29T16:02:49.517442,fc2,0.002041541254342436,0.1518277,success
2,2025-06-29T16:02:49.517442,fc3,0.01101295250192021,0.21754102,success
3,2025-06-29T16:03:15.817337,conv1,0.22231389151590206,0.13285498,success
3,2025-06-29T16:03:15.817337,conv2,0.027727911633726912,0.04667017,success
3,2025-06-29T16:03:15.817337,fc1,0.020089448533114077,0.12118049,success
3,2025-06-29T16:03:15.817337,fc2,1.0064132817787795e-05,0.20395248,success
3,2025-06-29T16:03:15.817337,fc3,0.016996898881150746,0.1922495,success
4,2025-06-29T16:03:43.825822,conv1,0.2333670364925333,0.14757249,success
4,2025-06-29T16:03:43.825822,conv2,0.04867722237856446,0.08982272,success
4,2025-06-29T16:03:43.825822,fc1,0.02232297569637924,0.16713502,success
4,2025-06-29T16:03:43.825822,fc2,0.0023180114022422235,0.19338085,success
4,2025-06-29T16:03:43.825822,fc3,0.019695249247688475,0.17332223,success
5,2025-06-29T16:04:12.034369,conv1,0.14211662664715244,0.12231199,success
5,2025-06-29T16:04:12.034369,conv2,0.008704003526515472,0.07111553,success
5,2025-06-29T16:04:12.034369,fc1,0.0011607508045871524,0.10562998,success
5,2025-06-29T16:04:12.034369,fc2,0.00600665171218557,0.21580884,success
5,2025-06-29T16:04:12.034369,fc3,0.003440516302984194,0.2222117,success
6,2025-06-29T16:04:40.797732,conv1,0.3181095600923204,0.10309774,success
6,2025-06-29T16:04:40.797732,conv2,0.017241361953199055,0.053712506,success
6,2025-06-29T16:04:40.797732,fc1,0.01480968893221919,0.14639491,success
6,2025-06-29T16:04:40.797732,fc2,0.013386235663928672,0.21176061,success
6,2025-06-29T16:04:40.797732,fc3,0.01620158903199988,0.21984619,success
7,2025-06-29T16:05:09.518016,conv1,0.16618054817454692,0.15057051,success
7,2025-06-29T16:05:09.518016,conv2,0.008811574898386602,0.05139213,success
7,2025-06-29T16:05:09.518016,fc1,0.0032916063485754926,0.19229525,success
7,2025-06-29T16:05:09.518016,fc2,0.0010312827251201667,0.15510076,success
7,2025-06-29T16:05:09.518016,fc3,0.03847314973768304,0.18314117,success
8,2025-06-29T16:05:38.748880,conv1,0.17853302963987575,0.13975842,success
8,2025-06-29T16:05:38.748880,conv2,0.07455471067711257,0.0961331,success
8,2025-06-29T16:05:38.748880,fc1,0.003149972177279392,0.1961181,success
8,2025-06-29T16:05:38.748880,fc2,0.0007104996040295176,0.19653514,success
8,2025-06-29T16:05:38.748880,fc3,0.04677350790274485,0.2182349,success
9,2025-06-29T16:06:08.742025,conv1,0.16077629476521949,0.14482388,success
9,2025-06-29T16:06:08.742025,conv2,0.0577701053362628,0.06909423,success
9,2025-06-29T16:06:08.742025,fc1,0.006536300617970812,0.18772033,success
9,2025-06-29T16:06:08.742025,fc2,0.014797987284796647,0.23300679,success
9,2025-06-29T16:06:08.742025,fc3,0.0186737337539592,0.19134524,success
