互信息分析汇总报告
实验名称: lenet_cifar10_v1
生成时间: 2025-06-29 16:08:56
总分析轮数: 10

=== 各层统计信息 ===

conv1:
  I(X;T) - 均值: 0.1905, 标准差: 0.0593, 范围: [0.1144, 0.3181]
  I(T;Y) - 均值: 0.1312, 标准差: 0.0172, 范围: [0.1031, 0.1506]

conv2:
  I(X;T) - 均值: 0.0379, 标准差: 0.0335, 范围: [0.0028, 0.1063]
  I(T;Y) - 均值: 0.0622, 标准差: 0.0247, 范围: [0.0278, 0.0961]

fc1:
  I(X;T) - 均值: 0.0096, 标准差: 0.0088, 范围: [0.0009, 0.0223]
  I(T;Y) - 均值: 0.1486, 标准差: 0.0360, 范围: [0.0971, 0.1961]

fc2:
  I(X;T) - 均值: 0.0061, 标准差: 0.0065, 范围: [0.0000, 0.0174]
  I(T;Y) - 均值: 0.1860, 标准差: 0.0317, 范围: [0.1482, 0.2330]

fc3:
  I(X;T) - 均值: 0.0268, 标准差: 0.0177, 范围: [0.0034, 0.0591]
  I(T;Y) - 均值: 0.2053, 标准差: 0.0222, 范围: [0.1733, 0.2441]

=== 完整数据记录 ===
 epoch                  timestamp layer     I_XT     I_TY  status
     0 2025-06-29T16:01:56.050160 conv1 0.114369 0.144766 success
     0 2025-06-29T16:01:56.050160 conv2 0.026489 0.088374 success
     0 2025-06-29T16:01:56.050160   fc1 0.020836 0.097095 success
     0 2025-06-29T16:01:56.050160   fc2 0.003782 0.150627 success
     0 2025-06-29T16:01:56.050160   fc3 0.059101 0.244103 success
     1 2025-06-29T16:02:22.671596 conv1 0.147620 0.108332 success
     1 2025-06-29T16:02:22.671596 conv2 0.002751 0.027784 success
     1 2025-06-29T16:02:22.671596   fc1 0.003081 0.130540 success
     1 2025-06-29T16:02:22.671596   fc2 0.017402 0.148155 success
     1 2025-06-29T16:02:22.671596   fc3 0.037265 0.190557 success
     2 2025-06-29T16:02:49.517442 conv1 0.221306 0.118000 success
     2 2025-06-29T16:02:49.517442 conv2 0.106265 0.028151 success
     2 2025-06-29T16:02:49.517442   fc1 0.000941 0.141631 success
     2 2025-06-29T16:02:49.517442   fc2 0.002042 0.151828 success
     2 2025-06-29T16:02:49.517442   fc3 0.011013 0.217541 success
     3 2025-06-29T16:03:15.817337 conv1 0.222314 0.132855 success
     3 2025-06-29T16:03:15.817337 conv2 0.027728 0.046670 success
     3 2025-06-29T16:03:15.817337   fc1 0.020089 0.121180 success
     3 2025-06-29T16:03:15.817337   fc2 0.000010 0.203952 success
     3 2025-06-29T16:03:15.817337   fc3 0.016997 0.192249 success
     4 2025-06-29T16:03:43.825822 conv1 0.233367 0.147572 success
     4 2025-06-29T16:03:43.825822 conv2 0.048677 0.089823 success
     4 2025-06-29T16:03:43.825822   fc1 0.022323 0.167135 success
     4 2025-06-29T16:03:43.825822   fc2 0.002318 0.193381 success
     4 2025-06-29T16:03:43.825822   fc3 0.019695 0.173322 success
     5 2025-06-29T16:04:12.034369 conv1 0.142117 0.122312 success
     5 2025-06-29T16:04:12.034369 conv2 0.008704 0.071116 success
     5 2025-06-29T16:04:12.034369   fc1 0.001161 0.105630 success
     5 2025-06-29T16:04:12.034369   fc2 0.006007 0.215809 success
     5 2025-06-29T16:04:12.034369   fc3 0.003441 0.222212 success
     6 2025-06-29T16:04:40.797732 conv1 0.318110 0.103098 success
     6 2025-06-29T16:04:40.797732 conv2 0.017241 0.053713 success
     6 2025-06-29T16:04:40.797732   fc1 0.014810 0.146395 success
     6 2025-06-29T16:04:40.797732   fc2 0.013386 0.211761 success
     6 2025-06-29T16:04:40.797732   fc3 0.016202 0.219846 success
     7 2025-06-29T16:05:09.518016 conv1 0.166181 0.150571 success
     7 2025-06-29T16:05:09.518016 conv2 0.008812 0.051392 success
     7 2025-06-29T16:05:09.518016   fc1 0.003292 0.192295 success
     7 2025-06-29T16:05:09.518016   fc2 0.001031 0.155101 success
     7 2025-06-29T16:05:09.518016   fc3 0.038473 0.183141 success
     8 2025-06-29T16:05:38.748880 conv1 0.178533 0.139758 success
     8 2025-06-29T16:05:38.748880 conv2 0.074555 0.096133 success
     8 2025-06-29T16:05:38.748880   fc1 0.003150 0.196118 success
     8 2025-06-29T16:05:38.748880   fc2 0.000710 0.196535 success
     8 2025-06-29T16:05:38.748880   fc3 0.046774 0.218235 success
     9 2025-06-29T16:06:08.742025 conv1 0.160776 0.144824 success
     9 2025-06-29T16:06:08.742025 conv2 0.057770 0.069094 success
     9 2025-06-29T16:06:08.742025   fc1 0.006536 0.187720 success
     9 2025-06-29T16:06:08.742025   fc2 0.014798 0.233007 success
     9 2025-06-29T16:06:08.742025   fc3 0.018674 0.191345 success
